order_id,order_date,hub,courier_partner,distance_km,order_value_inr,promised_delivery_date,actual_delivery_date,delay_days,is_late,order_weekday,order_month
ORD100019,2024-05-26,Hub_B_Bangalore,SpeedX,157.0,1168.58,2024-05-29,2024-05-29,0,0,Sunday,May
ORD100020,2024-05-30,Hub_C_Delhi,SwiftGo,109.6,485.58,2024-06-02,2024-06-06,4,1,Thursday,May
ORD100021,2024-09-10,Hub_E_Chennai,QuickDrop,53.0,1676.22,2024-09-13,2024-09-12,-1,0,Tuesday,September
ORD100022,2024-04-29,Hub_E_Chennai,QuickDrop,294.6,2342.81,2024-05-02,2024-05-02,0,0,Monday,April
ORD100023,2024-12-03,Hub_C_Delhi,ExpressLine,172.8,548.62,2024-12-06,2024-12-06,0,0,Tuesday,December
ORD100024,2024-05-07,Hub_C_Delhi,SpeedX,56.9,385.05,2024-05-10,2024-05-09,-1,0,Tuesday,May
ORD100025,2024-10-09,Hub_C_Delhi,ExpressLine,388.8,1657.72,2024-10-12,2024-10-12,0,0,Wednesday,October
ORD100026,2024-07-10,Hub_D_Kolkata,SpeedX,148.3,1245.97,2024-07-13,2024-07-12,-1,0,Wednesday,July
ORD100027,2024-04-08,Hub_E_Chennai,SpeedX,83.8,453.93,2024-04-11,2024-04-11,0,0,Monday,April
ORD100028,2024-02-23,Hub_D_Kolkata,ExpressLine,202.0,371.37,2024-02-26,2024-02-25,-1,0,Friday,February
ORD100029,2024-09-29,Hub_E_Chennai,SpeedX,231.9,2330.82,2024-10-02,2024-10-02,0,0,Sunday,September
ORD100030,2024-11-11,Hub_C_Delhi,ExpressLine,249.6,1622.03,2024-11-14,2024-11-14,0,0,Monday,November
ORD100031,2024-04-01,Hub_C_Delhi,ExpressLine,66.9,1686.82,2024-04-04,2024-04-03,-1,0,Monday,April
ORD100032,2024-10-31,Hub_A_Mumbai,QuickDrop,88.0,571.82,2024-11-03,2024-11-05,2,1,Thursday,October
ORD100033,2024-07-14,Hub_E_Chennai,SpeedX,452.3,397.3,2024-07-18,2024-07-18,0,0,Sunday,July
ORD100034,2024-05-26,Hub_D_Kolkata,SpeedX,95.8,685.3,2024-05-29,2024-05-29,0,0,Sunday,May
ORD100035,2024-05-08,Hub_A_Mumbai,SpeedX,213.5,149.17,2024-05-11,2024-05-10,-1,0,Wednesday,May
ORD100036,2024-07-10,Hub_C_Delhi,SwiftGo,48.9,502.39,2024-07-13,2024-07-14,1,1,Wednesday,July
ORD100037,2024-03-09,Hub_A_Mumbai,ExpressLine,116.4,1584.66,2024-03-12,2024-03-16,4,1,Saturday,March
ORD100038,2024-04-09,Hub_A_Mumbai,ExpressLine,180.3,3108.14,2024-04-12,2024-04-12,0,0,Tuesday,April
ORD100039,2024-09-03,Hub_E_Chennai,QuickDrop,351.3,1103.01,2024-09-06,2024-09-09,3,1,Tuesday,September
ORD100040,2024-04-10,Hub_D_Kolkata,QuickDrop,70.4,1148.64,2024-04-13,2024-04-15,2,1,Wednesday,April
ORD100041,2024-08-29,Hub_D_Kolkata,SpeedX,299.8,511.21,2024-09-01,2024-09-03,2,1,Thursday,August
ORD100042,2024-04-23,Hub_D_Kolkata,QuickDrop,287.8,1178.47,2024-04-26,2024-04-26,0,0,Tuesday,April
ORD100043,2024-06-25,Hub_D_Kolkata,SpeedX,238.0,166.59,2024-06-28,2024-07-01,3,1,Tuesday,June
ORD100044,2024-10-05,Hub_D_Kolkata,SpeedX,174.8,1431.24,2024-10-08,2024-10-08,0,0,Saturday,October
ORD100045,2024-08-20,Hub_E_Chennai,ExpressLine,185.8,916.47,2024-08-23,2024-08-24,1,1,Tuesday,August
ORD100046,2024-01-25,Hub_C_Delhi,SpeedX,225.5,803.55,2024-01-28,2024-01-28,0,0,Thursday,January
ORD100047,2024-10-09,Hub_D_Kolkata,SpeedX,183.3,1640.36,2024-10-12,2024-10-12,0,0,Wednesday,October
ORD100048,2024-03-10,Hub_D_Kolkata,ExpressLine,123.0,300.0,2024-03-13,2024-03-13,0,0,Sunday,March
ORD100049,2024-08-29,Hub_C_Delhi,SpeedX,290.9,953.54,2024-09-01,2024-08-31,-1,0,Thursday,August
ORD100050,2024-07-09,Hub_C_Delhi,SpeedX,93.0,1848.75,2024-07-12,2024-07-12,0,0,Tuesday,July
ORD100051,2024-03-20,Hub_C_Delhi,QuickDrop,141.8,1060.17,2024-03-23,2024-03-23,0,0,Wednesday,March
ORD100052,2024-01-01,Hub_D_Kolkata,SwiftGo,179.8,2877.01,2024-01-04,2024-01-07,3,1,Monday,January
ORD100053,2024-07-04,Hub_B_Bangalore,SpeedX,94.5,577.39,2024-07-07,2024-07-07,0,0,Thursday,July
ORD100054,2024-08-07,Hub_B_Bangalore,SpeedX,42.1,680.9,2024-08-10,2024-08-10,0,0,Wednesday,August
ORD100055,2024-10-12,Hub_E_Chennai,SpeedX,261.5,1665.04,2024-10-15,2024-10-17,2,1,Saturday,October
ORD100056,2024-03-03,Hub_B_Bangalore,QuickDrop,123.7,884.35,2024-03-06,2024-03-05,-1,0,Sunday,March
ORD100057,2024-01-23,Hub_D_Kolkata,QuickDrop,122.3,582.45,2024-01-26,2024-01-26,0,0,Tuesday,January
ORD100058,2024-10-14,Hub_A_Mumbai,SpeedX,45.0,604.7,2024-10-17,2024-10-16,-1,0,Monday,October
ORD100059,2024-08-09,Hub_D_Kolkata,SwiftGo,107.1,874.29,2024-08-12,2024-08-12,0,0,Friday,August
ORD100060,2024-11-03,Hub_C_Delhi,ExpressLine,179.2,885.25,2024-11-06,2024-11-06,0,0,Sunday,November
ORD100061,2024-11-25,Hub_D_Kolkata,SpeedX,32.7,167.51,2024-11-28,2024-11-28,0,0,Monday,November
ORD100062,2024-04-20,Hub_A_Mumbai,SpeedX,357.6,983.77,2024-04-23,2024-04-22,-1,0,Saturday,April
ORD100063,2024-07-13,Hub_C_Delhi,QuickDrop,84.5,1167.88,2024-07-16,2024-07-16,0,0,Saturday,July
ORD100064,2024-11-21,Hub_A_Mumbai,ExpressLine,118.2,783.89,2024-11-24,2024-11-27,3,1,Thursday,November
ORD100065,2024-04-30,Hub_D_Kolkata,ExpressLine,19.5,858.32,2024-05-03,2024-05-03,0,0,Tuesday,April
ORD100066,2024-01-28,Hub_B_Bangalore,ExpressLine,177.6,1137.29,2024-01-31,2024-01-31,0,0,Sunday,January
ORD100067,2024-10-20,Hub_C_Delhi,SpeedX,212.6,646.57,2024-10-23,2024-10-24,1,1,Sunday,October
ORD100068,2024-10-26,Hub_B_Bangalore,ExpressLine,167.8,1832.14,2024-10-29,2024-10-29,0,0,Saturday,October
ORD100069,2024-04-20,Hub_D_Kolkata,ExpressLine,60.4,347.65,2024-04-23,2024-04-23,0,0,Saturday,April
ORD100070,2024-12-30,Hub_B_Bangalore,QuickDrop,56.2,445.59,2025-01-02,2025-01-02,0,0,Monday,December
ORD100071,2024-12-15,Hub_A_Mumbai,QuickDrop,63.3,1222.19,2024-12-18,2024-12-17,-1,0,Sunday,December
ORD100072,2024-01-04,Hub_A_Mumbai,QuickDrop,482.3,707.54,2024-01-08,2024-01-08,0,0,Thursday,January
ORD100073,2024-06-21,Hub_D_Kolkata,SpeedX,98.1,114.19,2024-06-24,2024-06-27,3,1,Friday,June
ORD100074,2024-11-15,Hub_A_Mumbai,ExpressLine,151.1,1062.52,2024-11-18,2024-11-18,0,0,Friday,November
ORD100075,2024-05-17,Hub_E_Chennai,ExpressLine,111.7,1284.04,2024-05-20,2024-05-20,0,0,Friday,May
ORD100076,2024-04-03,Hub_A_Mumbai,QuickDrop,115.4,491.72,2024-04-06,2024-04-06,0,0,Wednesday,April
ORD100077,2024-12-14,Hub_A_Mumbai,SwiftGo,64.4,579.78,2024-12-17,2024-12-17,0,0,Saturday,December
ORD100078,2024-05-11,Hub_B_Bangalore,SwiftGo,138.4,2322.73,2024-05-14,2024-05-14,0,0,Saturday,May
ORD100079,2024-03-03,Hub_C_Delhi,SpeedX,130.5,1342.39,2024-03-06,2024-03-06,0,0,Sunday,March
ORD100080,2024-05-13,Hub_B_Bangalore,SwiftGo,21.6,2241.55,2024-05-16,2024-05-16,0,0,Monday,May
ORD100081,2024-10-15,Hub_A_Mumbai,ExpressLine,169.6,565.68,2024-10-18,2024-10-21,3,1,Tuesday,October
ORD100082,2024-08-03,Hub_C_Delhi,ExpressLine,290.5,547.58,2024-08-06,2024-08-06,0,0,Saturday,August
ORD100083,2024-10-08,Hub_B_Bangalore,ExpressLine,36.9,1998.07,2024-10-11,2024-10-13,2,1,Tuesday,October
ORD100084,2024-07-28,Hub_C_Delhi,SpeedX,479.3,1147.84,2024-08-01,2024-08-03,2,1,Sunday,July
ORD100085,2024-02-20,Hub_D_Kolkata,QuickDrop,162.9,1301.43,2024-02-23,2024-02-23,0,0,Tuesday,February
ORD100086,2024-11-08,Hub_B_Bangalore,ExpressLine,244.7,205.19,2024-11-11,2024-11-11,0,0,Friday,November
ORD100087,2024-06-02,Hub_B_Bangalore,ExpressLine,289.5,793.41,2024-06-05,2024-06-05,0,0,Sunday,June
ORD100088,2024-12-29,Hub_E_Chennai,SpeedX,67.3,922.83,2025-01-01,2025-01-01,0,0,Sunday,December
ORD100089,2024-06-02,Hub_A_Mumbai,SwiftGo,143.6,3458.32,2024-06-05,2024-06-05,0,0,Sunday,June
ORD100090,2024-07-29,Hub_B_Bangalore,ExpressLine,180.4,1574.45,2024-08-01,2024-08-01,0,0,Monday,July
ORD100091,2024-07-12,Hub_C_Delhi,ExpressLine,130.9,561.36,2024-07-15,2024-07-18,3,1,Friday,July
ORD100092,2024-09-22,Hub_B_Bangalore,SwiftGo,202.9,1435.48,2024-09-25,2024-09-26,1,1,Sunday,September
ORD100093,2024-09-11,Hub_A_Mumbai,SpeedX,370.3,1079.94,2024-09-14,2024-09-15,1,1,Wednesday,September
ORD100094,2024-03-18,Hub_C_Delhi,QuickDrop,76.5,133.7,2024-03-21,2024-03-21,0,0,Monday,March
ORD100095,2024-03-25,Hub_A_Mumbai,SpeedX,87.4,1425.07,2024-03-28,2024-03-28,0,0,Monday,March
ORD100096,2024-07-13,Hub_C_Delhi,SpeedX,152.5,1732.42,2024-07-16,2024-07-15,-1,0,Saturday,July
ORD100097,2024-12-07,Hub_D_Kolkata,SpeedX,22.8,738.5,2024-12-10,2024-12-10,0,0,Saturday,December
ORD100098,2024-01-09,Hub_C_Delhi,SwiftGo,215.7,853.71,2024-01-12,2024-01-12,0,0,Tuesday,January
ORD100099,2024-08-02,Hub_D_Kolkata,QuickDrop,152.6,745.23,2024-08-05,2024-08-05,0,0,Friday,August
ORD100100,2024-03-16,Hub_A_Mumbai,SpeedX,387.7,2140.31,2024-03-19,2024-03-18,-1,0,Saturday,March
ORD100101,2024-07-08,Hub_C_Delhi,SpeedX,431.8,565.45,2024-07-12,2024-07-13,1,1,Monday,July
ORD100102,2024-10-22,Hub_C_Delhi,QuickDrop,197.8,1110.24,2024-10-25,2024-10-25,0,0,Tuesday,October
ORD100103,2024-11-07,Hub_A_Mumbai,SpeedX,189.5,462.83,2024-11-10,2024-11-10,0,0,Thursday,November
ORD100104,2024-06-02,Hub_C_Delhi,ExpressLine,188.1,2180.82,2024-06-05,2024-06-05,0,0,Sunday,June
ORD100105,2024-08-16,Hub_A_Mumbai,QuickDrop,102.9,585.03,2024-08-19,2024-08-19,0,0,Friday,August
ORD100106,2024-02-26,Hub_C_Delhi,SpeedX,106.7,993.27,2024-02-29,2024-02-29,0,0,Monday,February
ORD100107,2024-07-16,Hub_E_Chennai,QuickDrop,255.6,597.16,2024-07-19,2024-07-21,2,1,Tuesday,July
ORD100108,2024-10-08,Hub_C_Delhi,QuickDrop,188.1,280.95,2024-10-11,2024-10-10,-1,0,Tuesday,October
ORD100109,2024-03-22,Hub_D_Kolkata,SpeedX,329.3,2878.81,2024-03-25,2024-03-25,0,0,Friday,March
ORD100110,2024-10-27,Hub_A_Mumbai,SwiftGo,216.5,608.35,2024-10-30,2024-10-30,0,0,Sunday,October
ORD100111,2024-07-28,Hub_C_Delhi,ExpressLine,189.7,43.69,2024-07-31,2024-08-01,1,1,Sunday,July
ORD100112,2024-04-05,Hub_D_Kolkata,QuickDrop,361.0,418.9,2024-04-08,2024-04-07,-1,0,Friday,April
ORD100113,2024-08-26,Hub_B_Bangalore,SpeedX,209.4,73.77,2024-08-29,2024-08-29,0,0,Monday,August
ORD100114,2024-11-19,Hub_D_Kolkata,SwiftGo,233.4,614.07,2024-11-22,2024-11-24,2,1,Tuesday,November
ORD100115,2024-07-05,Hub_E_Chennai,SwiftGo,154.5,365.35,2024-07-08,2024-07-08,0,0,Friday,July
ORD100116,2024-06-01,Hub_D_Kolkata,SpeedX,344.9,573.39,2024-06-04,2024-06-06,2,1,Saturday,June
ORD100117,2024-11-08,Hub_B_Bangalore,SpeedX,108.6,1674.52,2024-11-11,2024-11-10,-1,0,Friday,November
ORD100118,2024-08-28,Hub_A_Mumbai,ExpressLine,285.0,1538.94,2024-08-31,2024-08-31,0,0,Wednesday,August
ORD100119,2024-03-29,Hub_C_Delhi,SwiftGo,110.7,546.56,2024-04-01,2024-04-01,0,0,Friday,March
ORD100120,2024-02-09,Hub_E_Chennai,SwiftGo,82.7,355.43,2024-02-12,2024-02-14,2,1,Friday,February
ORD100121,2024-02-06,Hub_B_Bangalore,SwiftGo,89.7,1811.95,2024-02-09,2024-02-12,3,1,Tuesday,February
ORD100122,2024-05-26,Hub_E_Chennai,SpeedX,71.3,511.22,2024-05-29,2024-05-29,0,0,Sunday,May
ORD100123,2024-06-03,Hub_D_Kolkata,SpeedX,83.8,657.04,2024-06-06,2024-06-06,0,0,Monday,June
ORD100124,2024-12-21,Hub_C_Delhi,SwiftGo,191.2,1196.55,2024-12-24,2024-12-25,1,1,Saturday,December
ORD100125,2024-12-30,Hub_D_Kolkata,SpeedX,32.3,1107.99,2025-01-02,2025-01-01,-1,0,Monday,December
ORD100126,2024-10-04,Hub_E_Chennai,SwiftGo,179.0,1562.6,2024-10-07,2024-10-07,0,0,Friday,October
ORD100127,2024-04-29,Hub_A_Mumbai,QuickDrop,78.4,984.12,2024-05-02,2024-05-03,1,1,Monday,April
ORD100128,2024-03-19,Hub_E_Chennai,SpeedX,118.5,686.25,2024-03-22,2024-03-25,3,1,Tuesday,March
ORD100129,2024-09-27,Hub_D_Kolkata,SwiftGo,65.4,900.74,2024-09-30,2024-10-05,5,1,Friday,September
ORD100130,2024-08-23,Hub_A_Mumbai,SwiftGo,115.0,567.53,2024-08-26,2024-08-26,0,0,Friday,August
ORD100131,2024-06-10,Hub_A_Mumbai,SpeedX,427.2,1448.8,2024-06-14,2024-06-14,0,0,Monday,June
ORD100132,2024-05-24,Hub_A_Mumbai,SpeedX,136.0,554.83,2024-05-27,2024-05-26,-1,0,Friday,May
ORD100133,2024-02-15,Hub_C_Delhi,SpeedX,176.1,189.13,2024-02-18,2024-02-18,0,0,Thursday,February
ORD100134,2024-08-01,Hub_C_Delhi,SpeedX,255.0,519.51,2024-08-04,2024-08-05,1,1,Thursday,August
ORD100135,2024-04-04,Hub_D_Kolkata,SwiftGo,32.5,1439.22,2024-04-07,2024-04-10,3,1,Thursday,April
ORD100136,2024-03-20,Hub_C_Delhi,SpeedX,293.3,786.9,2024-03-23,2024-03-26,3,1,Wednesday,March
ORD100137,2024-06-02,Hub_B_Bangalore,SpeedX,96.7,1483.66,2024-06-05,2024-06-06,1,1,Sunday,June
ORD100138,2024-11-12,Hub_D_Kolkata,SpeedX,257.6,785.18,2024-11-15,2024-11-15,0,0,Tuesday,November
ORD100139,2024-11-13,Hub_D_Kolkata,SwiftGo,107.8,1195.65,2024-11-16,2024-11-16,0,0,Wednesday,November
ORD100140,2024-05-06,Hub_C_Delhi,SwiftGo,525.8,296.16,2024-05-10,2024-05-10,0,0,Monday,May
ORD100141,2024-03-22,Hub_A_Mumbai,SwiftGo,118.2,499.97,2024-03-25,2024-03-25,0,0,Friday,March
ORD100142,2024-07-25,Hub_B_Bangalore,ExpressLine,308.0,1380.21,2024-07-28,2024-07-27,-1,0,Thursday,July
ORD100143,2024-05-31,Hub_C_Delhi,ExpressLine,129.4,795.4,2024-06-03,2024-06-03,0,0,Friday,May
ORD100144,2024-10-21,Hub_B_Bangalore,SwiftGo,411.8,1871.39,2024-10-25,2024-10-24,-1,0,Monday,October
ORD100145,2024-03-27,Hub_D_Kolkata,ExpressLine,11.9,992.13,2024-03-30,2024-04-01,2,1,Wednesday,March
ORD100146,2024-01-14,Hub_C_Delhi,ExpressLine,69.8,951.16,2024-01-17,2024-01-17,0,0,Sunday,January
ORD100147,2024-06-12,Hub_E_Chennai,ExpressLine,182.5,224.29,2024-06-15,2024-06-15,0,0,Wednesday,June
ORD100148,2024-06-19,Hub_E_Chennai,SpeedX,61.1,169.78,2024-06-22,2024-06-22,0,0,Wednesday,June
ORD100149,2024-04-29,Hub_E_Chennai,SwiftGo,140.0,992.94,2024-05-02,2024-05-04,2,1,Monday,April
ORD100150,2024-01-20,Hub_A_Mumbai,SwiftGo,109.8,479.4,2024-01-23,2024-01-23,0,0,Saturday,January
ORD100151,2024-10-02,Hub_E_Chennai,QuickDrop,305.2,969.84,2024-10-05,2024-10-05,0,0,Wednesday,October
ORD100152,2024-12-05,Hub_A_Mumbai,SpeedX,100.6,1083.61,2024-12-08,2024-12-08,0,0,Thursday,December
ORD100153,2024-03-26,Hub_B_Bangalore,SwiftGo,167.3,870.1,2024-03-29,2024-03-28,-1,0,Tuesday,March
ORD100154,2024-03-16,Hub_A_Mumbai,SwiftGo,195.5,1276.97,2024-03-19,2024-03-19,0,0,Saturday,March
ORD100155,2024-08-07,Hub_A_Mumbai,SwiftGo,286.0,541.58,2024-08-10,2024-08-11,1,1,Wednesday,August
ORD100156,2024-11-19,Hub_D_Kolkata,SwiftGo,160.5,1290.33,2024-11-22,2024-11-26,4,1,Tuesday,November
ORD100157,2024-05-08,Hub_A_Mumbai,ExpressLine,62.2,143.02,2024-05-11,2024-05-11,0,0,Wednesday,May
ORD100158,2024-10-17,Hub_B_Bangalore,SpeedX,447.5,1502.9,2024-10-21,2024-10-20,-1,0,Thursday,October
ORD100159,2024-10-30,Hub_E_Chennai,QuickDrop,184.1,251.74,2024-11-02,2024-11-02,0,0,Wednesday,October
ORD100160,2024-10-28,Hub_D_Kolkata,QuickDrop,145.2,1001.62,2024-10-31,2024-10-31,0,0,Monday,October
ORD100161,2024-10-16,Hub_A_Mumbai,SwiftGo,543.9,923.44,2024-10-20,2024-10-20,0,0,Wednesday,October
ORD100162,2024-06-06,Hub_D_Kolkata,SpeedX,81.5,626.92,2024-06-09,2024-06-12,3,1,Thursday,June
ORD100163,2024-03-11,Hub_B_Bangalore,SwiftGo,93.4,666.01,2024-03-14,2024-03-14,0,0,Monday,March
ORD100164,2024-05-20,Hub_C_Delhi,QuickDrop,142.0,1008.05,2024-05-23,2024-05-23,0,0,Monday,May
ORD100165,2024-03-12,Hub_D_Kolkata,ExpressLine,90.7,287.88,2024-03-15,2024-03-15,0,0,Tuesday,March
ORD100166,2024-06-12,Hub_A_Mumbai,ExpressLine,125.8,458.45,2024-06-15,2024-06-15,0,0,Wednesday,June
ORD100167,2024-10-19,Hub_D_Kolkata,SwiftGo,48.0,916.55,2024-10-22,2024-10-27,5,1,Saturday,October
ORD100168,2024-10-17,Hub_C_Delhi,SwiftGo,33.3,88.39,2024-10-20,2024-10-23,3,1,Thursday,October
ORD100169,2024-03-08,Hub_D_Kolkata,ExpressLine,132.4,637.84,2024-03-11,2024-03-13,2,1,Friday,March
ORD100170,2024-03-10,Hub_B_Bangalore,SpeedX,98.4,769.61,2024-03-13,2024-03-12,-1,0,Sunday,March
ORD100171,2024-02-19,Hub_D_Kolkata,SpeedX,57.6,645.43,2024-02-22,2024-02-21,-1,0,Monday,February
ORD100172,2024-10-12,Hub_B_Bangalore,SwiftGo,378.1,1230.07,2024-10-15,2024-10-18,3,1,Saturday,October
ORD100173,2024-01-12,Hub_B_Bangalore,SwiftGo,117.8,793.21,2024-01-15,2024-01-15,0,0,Friday,January
ORD100174,2024-08-18,Hub_E_Chennai,SwiftGo,282.4,593.42,2024-08-21,2024-08-22,1,1,Sunday,August
ORD100175,2024-09-05,Hub_C_Delhi,ExpressLine,129.6,2828.79,2024-09-08,2024-09-08,0,0,Thursday,September
ORD100176,2024-12-07,Hub_C_Delhi,ExpressLine,71.3,1391.84,2024-12-10,2024-12-10,0,0,Saturday,December
ORD100177,2024-05-13,Hub_A_Mumbai,SpeedX,127.1,476.37,2024-05-16,2024-05-16,0,0,Monday,May
ORD100178,2024-09-09,Hub_E_Chennai,QuickDrop,655.8,588.8,2024-09-13,2024-09-13,0,0,Monday,September
ORD100179,2024-01-25,Hub_D_Kolkata,SpeedX,311.1,535.17,2024-01-28,2024-01-27,-1,0,Thursday,January
ORD100180,2024-11-11,Hub_E_Chennai,SpeedX,211.3,140.59,2024-11-14,2024-11-14,0,0,Monday,November
ORD100181,2024-12-10,Hub_A_Mumbai,QuickDrop,367.4,467.89,2024-12-13,2024-12-13,0,0,Tuesday,December
ORD100182,2024-03-20,Hub_D_Kolkata,SwiftGo,129.3,399.67,2024-03-23,2024-03-26,3,1,Wednesday,March
ORD100183,2024-08-18,Hub_D_Kolkata,SwiftGo,99.7,226.95,2024-08-21,2024-08-23,2,1,Sunday,August
ORD100184,2024-03-26,Hub_E_Chennai,SpeedX,384.9,1860.03,2024-03-29,2024-03-29,0,0,Tuesday,March
ORD100185,2024-03-05,Hub_B_Bangalore,QuickDrop,131.9,681.14,2024-03-08,2024-03-08,0,0,Tuesday,March
ORD100186,2024-09-12,Hub_A_Mumbai,ExpressLine,127.0,1653.97,2024-09-15,2024-09-15,0,0,Thursday,September
ORD100187,2024-02-11,Hub_D_Kolkata,QuickDrop,90.3,424.59,2024-02-14,2024-02-16,2,1,Sunday,February
ORD100188,2024-01-10,Hub_E_Chennai,SpeedX,326.9,739.39,2024-01-13,2024-01-13,0,0,Wednesday,January
ORD100189,2024-12-08,Hub_C_Delhi,SpeedX,378.2,2633.1,2024-12-11,2024-12-13,2,1,Sunday,December
ORD100190,2024-04-18,Hub_E_Chennai,SpeedX,189.9,38.48,2024-04-21,2024-04-20,-1,0,Thursday,April
ORD100191,2024-07-29,Hub_D_Kolkata,SpeedX,196.1,926.41,2024-08-01,2024-08-03,2,1,Monday,July
ORD100192,2024-08-07,Hub_E_Chennai,SwiftGo,102.6,633.8,2024-08-10,2024-08-09,-1,0,Wednesday,August
ORD100193,2024-09-22,Hub_D_Kolkata,SpeedX,159.9,1953.28,2024-09-25,2024-09-25,0,0,Sunday,September
ORD100194,2024-01-11,Hub_A_Mumbai,SpeedX,483.3,619.78,2024-01-15,2024-01-15,0,0,Thursday,January
ORD100195,2024-07-31,Hub_D_Kolkata,ExpressLine,96.8,1272.38,2024-08-03,2024-08-03,0,0,Wednesday,July
ORD100196,2024-05-28,Hub_E_Chennai,SwiftGo,134.3,1611.6,2024-05-31,2024-05-31,0,0,Tuesday,May
ORD100197,2024-09-14,Hub_A_Mumbai,SwiftGo,95.2,767.85,2024-09-17,2024-09-17,0,0,Saturday,September
ORD100198,2024-07-07,Hub_D_Kolkata,SwiftGo,50.3,1495.65,2024-07-10,2024-07-13,3,1,Sunday,July
ORD100199,2024-03-12,Hub_B_Bangalore,SwiftGo,198.6,635.0,2024-03-15,2024-03-17,2,1,Tuesday,March
ORD100200,2024-10-28,Hub_C_Delhi,SpeedX,91.2,923.36,2024-10-31,2024-10-31,0,0,Monday,October
ORD100201,2024-07-27,Hub_A_Mumbai,SwiftGo,407.3,1613.11,2024-07-31,2024-08-02,2,1,Saturday,July
ORD100202,2024-07-04,Hub_B_Bangalore,ExpressLine,283.0,888.25,2024-07-07,2024-07-07,0,0,Thursday,July
ORD100203,2024-07-20,Hub_C_Delhi,ExpressLine,308.0,860.22,2024-07-23,2024-07-23,0,0,Saturday,July
ORD100204,2024-12-01,Hub_B_Bangalore,SwiftGo,92.4,3361.14,2024-12-04,2024-12-05,1,1,Sunday,December
ORD100205,2024-11-14,Hub_A_Mumbai,SpeedX,136.4,1231.67,2024-11-17,2024-11-17,0,0,Thursday,November
ORD100206,2024-08-15,Hub_A_Mumbai,SwiftGo,311.9,459.89,2024-08-18,2024-08-18,0,0,Thursday,August
ORD100207,2024-04-27,Hub_D_Kolkata,ExpressLine,153.9,564.68,2024-04-30,2024-04-30,0,0,Saturday,April
ORD100208,2024-05-16,Hub_E_Chennai,SpeedX,206.0,1249.22,2024-05-19,2024-05-18,-1,0,Thursday,May
ORD100209,2024-02-20,Hub_E_Chennai,SpeedX,455.0,1089.69,2024-02-24,2024-02-24,0,0,Tuesday,February
ORD100210,2024-09-16,Hub_A_Mumbai,QuickDrop,117.9,601.7,2024-09-19,2024-09-19,0,0,Monday,September
ORD100211,2024-12-29,Hub_A_Mumbai,SpeedX,80.3,1391.74,2025-01-01,2025-01-01,0,0,Sunday,December
ORD100212,2024-08-04,Hub_D_Kolkata,SpeedX,103.9,39.26,2024-08-07,2024-08-07,0,0,Sunday,August
ORD100213,2024-09-04,Hub_C_Delhi,SpeedX,299.7,1645.69,2024-09-07,2024-09-07,0,0,Wednesday,September
